ntags,estimador,total_collisions_slots,total_empty_slots,total_slots,time
100,eom-lee,88.608000,91.216000,279.824000,2635.139000
100,lb,106.262000,78.726000,284.988000,310.887000
100,shoute,89.446000,89.578000,279.024000,289.159000
200,eom-lee,188.141000,207.127000,595.268000,4542.869000
200,lb,257.363000,151.097000,608.460000,396.434000
200,shoute,220.400000,178.956000,599.356000,362.324000
300,eom-lee,265.501000,327.183000,892.684000,23749.556000
300,lb,511.743000,202.121000,1013.864000,482.295000
300,shoute,363.964000,264.848000,928.812000,410.374000
400,eom-lee,300.437000,575.623000,1276.060000,369725.777000
400,lb,583.565000,300.263000,1283.828000,487.408000
400,shoute,503.684000,360.480000,1264.164000,450.921000
500,eom-lee,315.924000,773.952000,1589.876000,763961.288000
500,lb,796.528000,361.236000,1657.764000,528.865000
500,shoute,725.305000,404.367000,1629.672000,494.872000
600,eom-lee,395.249000,819.931000,1815.180000,886176.014000
600,lb,1099.285000,400.327000,2099.612000,581.862000
600,shoute,801.845000,521.907000,1923.752000,500.642000
700,eom-lee,513.552000,834.092000,2047.644000,917025.045000
700,lb,1223.271000,497.709000,2420.980000,598.904000
700,shoute,906.172000,639.228000,2245.400000,512.707000
800,eom-lee,541.665000,936.483000,2278.148000,931952.048000
800,lb,1241.479000,596.601000,2638.080000,595.529000
800,shoute,1071.217000,720.251000,2591.468000,535.188000
900,eom-lee,706.299000,926.525000,2532.824000,934897.878000
900,lb,1385.310000,686.198000,2971.508000,587.646000
900,shoute,1316.581000,730.859000,2947.440000,566.951000
1000,eom-lee,798.557000,1007.851000,2806.408000,935131.452000
1000,lb,1669.130000,720.002000,3389.132000,622.692000
1000,shoute,1517.588000,809.200000,3326.788000,584.873000
